新闻Nwes,#genre#
TVB无线新闻台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMbJZ-yx1uW34gmsbEWMViLM/ts
TVB PLUS,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMZYXuF4JF-G0vLGJ_-ignN0/ts
Now 新闻台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMVCgZM5q4ri_gdWTla-40ys/ts
Now 财经台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMRahVwO1bSMnwQFaIoi9000/ts
RTHK 31,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMYGk7g1yMsCsWHXSo3ulzpE/ts
RTHK 32,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMaM54HwiRUdGc7W3xHy3epg/ts
凤凰资讯台,http://61.163.58.168:2005/play/forward/5?tvid=MytvPhoenixInfo&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjaXR5IjoiMCIsImlwIjoiMTA5LjgxLjIxOC45NiIsInR2aWQiOiIyMjA0MTQ0MCIsImVjb25vbWl6ZSI6IjAiLCJleHAiOjE3NDUwMDQzMzcsIm5iZiI6MTc0NDk4NjMzNywiaWF0IjoxNzQ0OTg2MzM3fQ.epCAYnkrQ0dom1tw6JHikm9kNSFN2cv30Ij9gIsPJ6s
凤凰香港台,http://61.163.58.168:2005/play/forward/5?tvid=MytvPhoenixHK&token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjaXR5IjoiMCIsImlwIjoiMTA5LjgxLjIxOC45NiIsInR2aWQiOiIyMjA0MTQ0MCIsImVjb25vbWl6ZSI6IjAiLCJleHAiOjE3NDUwMDQzMzcsIm5iZiI6MTc0NDk4NjMzNywiaWF0IjoxNzQ0OTg2MzM3fQ.epCAYnkrQ0dom1tw6JHikm9kNSFN2cv30Ij9gIsPJ6s
中天新闻台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMRhyQ2UAM3pyNQQNhih1k/ts
东森新闻台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMV9UnjC2AV9iztcfqLfLsFU/ts
TVBS新闻台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMc1Nf_vU2X4IBCc3ET4u8nk/ts
壹电视新闻台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMV-KnxkWMOj99fzQQnLfQ94/ts
三立新闻,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMfXyy_fJiONhObjwniphblk/ts
民视新闻,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQoCWlVxmpdFL3hxm7YCrjA/ts
台视新闻,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQ7AGla88ChwikROfehnEVg/ts
寰宇新闻台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMaKaGKOxgkCJLculaI7T8TQ/ts
寰宇新闻台湾台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQ0djhPQezkn1d3mvzVMf18/ts
年代新闻,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMSezPQso4bEU3RLFsh8ZnNg/ts
非凡新闻台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMRO7F6JluwNXJBh1Vjcto4k/ts
镜新闻,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMZx8PetG7rkWQ7JzdXxL3p0/ts
东森财经新闻,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMdJYXBWf0Nkh85PFFybkyTI/ts
寰宇财经,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMSjl0lOi-IIqh9qrsYenRP4/ts
东森超视,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMc9QuFaha0xwUW58_XtYHag/ts
台视财经,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMdASYZ4OnVFoWyvQiBmPBmg/ts
中视新闻,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMeeZdFUcZfBpAtuEZ024x2s/ts
华视新闻,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMSiAMdPC0PIzstY_eYtPqP4/ts
三立INEWS,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMbhAO3rJTcmuw7ZCb_ZedG4/ts
体育sp,#genre#
Now Sports 精选,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMWoza8elgETieC9SGxlVHYA/ts
Now Sports 1,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMcCOLF6Wx_l-Lcr4GkVYc/ts
Now Sports 2,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQrchveTxDggiOHQvYPdrzk/ts
Now Sports 3,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMTiGUllgYGLCqj4SlsTVCt0/ts
Now Sports 4,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQK6M977mDFGLWWdfsodFbo/ts
Now Sports 5,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMY9ZMe4i8TzMsHOKOBlrJLM/ts
Now Sports 6,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMd_aO7pDeHwB7Ax2AuuKIdA/ts
Now Sports 7,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMR5Cu4kKIXLPcVZ6AmIJMfY/ts
Now Sports 英超粤,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQm_5UQDloq45eOG0o57BK4/ts

Now赛马台,p3p://173.208.176.178:31809/6318b7730000b372fb7ca7e170c66e54
爱尔达体育1台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMcxgQ8kmos7T92FXpqlo9Lo/ts
爱尔达体育2台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMaRQKgWpbHfhXJWhlH7Aq8Q/ts
爱尔达体育3,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMdtiXcWYRcAKsIji_Mp1jfY/ts

ELEVEN体育 1,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMTpolgMrEwEUD0zKW9HROrw/ts
ELEVEN体育 2,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMYBPs3LD0INi6il4Dxbn1T4/ts
纬来体育,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMWFMDJnCGLy7NfZwLtfW0eQ/ts
MY ASSP 1,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQy1k44s0Gnqi4hiQ6st9_Y/ts
MY ASSP 2,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMVk2UAJEehAyYY2rrPZA7_c/ts
MY ASSP 3,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMdAdC5rTh5enHzjli0-gmx8/ts
MY ASSP 4,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMZkHAcc591P-WNICKmwX9PY/ts
MY ASSP 5,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMcIROL1rJUJ75fAGXfhMx6k/ts

博斯运动 1,https://smart.pendy.dpdns.org/Smart.php?id=bosisport1_twn
博斯运动 2,https://smart.pendy.dpdns.org/Smart.php?id=bosisport2_twn
博斯高球2 HD,https://smart.pendy.dpdns.org/Smart.php?id=bosigolf2_twn
博斯网球 HD,https://smart.pendy.dpdns.org/Smart.php?id=bositennis_twn
广东体育,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMZ6yyDLFSles4EmjoBpADUU/ts
 五星体育,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMbOwROWbBeHORTZ8oqoU3kM/ts
电影Mov,#genre#
TVB 千禧经典台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMbPPvCgG_8Lqgz8yqCjzPCI/ts
TVB 娱乐新闻台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMRnWaqX0lqdvMCdL_BEyx_Y/ts
美亚电影台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMS-OGsHt6GMlhv9aRB78A1s/ts
TVB 黄金华剧台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMSx5UbrsqAqVefBfS2migxk/ts
TVB 华语剧台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMfZDPo24x0yUwTHnbpvaA7w/ts
TVB 亚洲剧台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMbirma-I2j9ncZvRrzySNjU/ts
TVB 功夫台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQHk3QyQrKGOEbIdWapGPo8/ts
TVB 粤语片台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMeSDyw6uP1L5wAsDNe5WNZ0/ts
TVB 戏曲台,http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMc64dgWCyAtHHd2omqkg9cg/ts
TVB 星河(粤),http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMRQlJonB_00kN2mJV7tfDK0/ts
TVB 星河(国),http://iptvpro.pw:35451/play/vMWTsHZdCAXWuUQoolilMQjLBsf3EKmRG4q-9ABks8U/ts
