MilkTv-大陸頻道,#genre#
CCTV1综合超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476879.m3u8
CCTV2财经高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476881.m3u8
CCTV3综艺超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476882.m3u8
CCTV4中文国际高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476884.m3u8
CCTV5体育超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476886.m3u8
CCTV5+体育赛事超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476888.m3u8
CCTV6电影高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476890.m3u8
CCTV7国防军事高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476891.m3u8
CCTV8电视剧高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476892.m3u8
CCTV-9纪录超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476893.m3u8
CCTV10 HD科教超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476895.m3u8
CCTV11戏曲高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476897.m3u8
CCTV12社会与法高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476898.m3u8
CCTV13新闻高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476899.m3u8
CCTV14少儿高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476900.m3u8
CCTV15音乐高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476901.m3u8
CCTV-16奥林匹克,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476902.m3u8
CCTV 4K,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476942.m3u8
安徽卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226391/index.m3u8
东南卫视,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/480057.m3u8
湖南卫视超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476903.m3u8
江苏卫视超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476905.m3u8
东方卫视超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476907.m3u8
浙江卫视超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476909.m3u8
北京卫视超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476911.m3u8
深圳卫视高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476913.m3u8
广东卫视高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476914.m3u8
广东珠江,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476221.m3u8
岭南戏曲,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476950.m3u8
广东体育超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476953.m3u8
五星体育高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477027.m3u8
四川卫视高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476917.m3u8
湖北卫视,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476198.m3u8
河北卫视,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476920.m3u8
天津卫视,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476919.m3u8
大湾区卫视,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476989.m3u8
重庆卫视高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476918.m3u8
青田电视台,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476195.m3u8
广东民生,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/594109.m3u8
MilkTv-港澳頻道,#genre#
MyTV SUPER,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/477554.m3u8
TVB 翡翠台超清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476929.m3u8
TVB 翡翠台4K,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476927.m3u8
TVB 翡翠台高清,http://live.playclothing.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476930.m3u8
