headers={"Authorization" : "XYhuY+UG500vL5IjopI/Q7LL/jTgBBMbFRnibjn0Xyn+Bua+OhauCO2LJz5Df8Uxg2J6YyIkNhsAX/Qph0eNSf6UfQFRDKKLjUZ+8ZSSBE5LsQgAjbD9mSZBh7afBvgk2EvgVKA6+NzFT3NuooK5La38FZ9Af/GgIeFISnwNlnlUa5facSasYe8TZZtAEKL8G4rj+KkG7hpQK1sCColjvdYYDg73AFyqAsgo2QTXrkagFXHnJLnuB9vfoxW/PNUSMBr4W+aG9I7rvfeIH0VXZtKY4E5B8SpRaQEbFTUAjAUghhMRRhpMFskHrDywG0xOLXIxl1olyMeTPLA7tl6uI+2lgFXNQX3hY0Gg63kwNg3TF8BJx4i9KeeOQrUPGOqmxwUmQuwHtPlgHlrQzzHWA8yGT6uJrKsBT2uW50kp7vs="  }
台灣,#genre#
民視,http://wjz.anddowns1888.com:8080/live/m3u8/336/b24cdb48c4690c737385d3e5e05be7a0/playlist.m3u8
民視,http://qlf.anddowns1888.com:8080/live/m3u8/336/b24cdb48c4690c737385d3e5e05be7a0/playlist.m3u8
台視,http://ltr.anddowns1888.com:8080/live/m3u8/312/c1dec65f2f6577e5248ae12d23607ca1/playlist.m3u8
台視,http://zms.anddowns1888.com:8080/live/m3u8/326/8bf5c89d1a474f57cdb707977f6011e6/playlist.m3u8
中視,http://qlf.anddowns1888.com:8080/live/m3u8/333/f689069a8c32e587ef5ba34a91d9702a/playlist.m3u8
中視,http://hrt.anddowns1888.com:8080/live/m3u8/1041/29319fa38dc22fc23f1c5676f1958843/playlist.m3u8
華視,http://wjz.anddowns1888.com:8080/live/m3u8/32/c257e8813d676eccf21552e4f780234e/playlist.m3u8
華視,http://rdy.anddowns1888.com:8080/live/m3u8/2282/90d5a40af504abe36ecc8aaecfc35a0b/playlist.m3u8
公視,http://wjz.anddowns1888.com:8080/live/m3u8/86/2a157064529f4218d0fac70ff34f69f7/playlist.m3u8
公視,http://xbt.anddowns1888.com:8080/live/m3u8/28/d8cda76326c4f345bff1b11aaad101f0/playlist.m3u8
八大第一台,http://ltr.anddowns1888.com:8080/live/m3u8/318/a9f7822f873d6ebe110e53121405665f/playlist.m3u8
三立台灣台,http://gbx.anddowns1888.com:8080/live/m3u8/35/8128561a197a44fa588cb286ede5d6a1/playlist.m3u8
三立台灣台,http://mjh.anddowns1888.com:8080/live/m3u8/2436/10f2ccbec0b5ba86d632d8f90b8b221b/playlist.m3u8
