港澳台一,#genre#
凤凰中文台,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯台,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港台,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8
TVB翡翠台,http://ali.hlspull.yximgs.com/live/FEICUI6632.flv

凤凰中文台,http://58.144.154.93/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯台,http://58.144.154.93/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港台,http://58.144.154.93/qctv.fengshows.cn/live/0701phk72.m3u8




凤凰中文台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=1
凤凰资讯台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=2
凤凰香港台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=3
香港有线新闻台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=4
香港有线18台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=5
香港有线18台(普通话),http://8.137.59.151:3000/laoshu1.php?key=6666&id=6
TVB无线新闻台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=7
TVB翡翠台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=8
黃金翡翠台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=9
TVB明珠台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=10
TVB Plus,http://8.137.59.151:3000/laoshu1.php?key=6666&id=11
TVB娱乐新闻台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=12
TVB星河,http://8.137.59.151:3000/laoshu1.php?key=6666&id=13
ViuTV,http://8.137.59.151:3000/laoshu1.php?key=6666&id=14
ViuTV6,http://8.137.59.151:3000/laoshu1.php?key=6666&id=15
NOW新闻台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=16
HOY国际财经台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=17
HOY TV,http://8.137.59.151:3000/laoshu1.php?key=6666&id=18
HOY资讯台,http://8.137.59.151:3000/laoshu1.php?key=6666&id=19
港台电视31,http://8.137.59.151:3000/laoshu1.php?key=6666&id=20
港台电视32,http://8.137.59.151:3000/laoshu1.php?key=6666&id=21

TVB翡翠台,http://ali.hlspull.yximgs.com/live/tboxprofhwwqpthqyqtqqqxcxbfhqqfqvhdtqdvbtvqsqxqfsqqcvbctvbfc.flv 
TVB翡翠台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct3 
TVB无线新闻台,http://124.244.149.194:65531/bysid/83.m3u8 
TVB Plus,http://124.244.149.194:65531/bysid/82.m3u8 
TVB明珠台,http://124.244.149.194:65531/bysid/2.m3u8 
TVB18台,http://ali.hlspull.yximgs.com/live/tboxprovhxqcvfhoeqfqhdoqqqyhcvxclqhqotqyq9qssqfdqcvhthofsqqhyx18.flv 
ViuTV6,http://124.244.149.194:65530/bysid/96.m3u8 
ViuTV,http://124.244.149.194:65530/bysid/99.m3u8 
天映频道,http://ali.hlspull.yximgs.com/live/tboxproqeqcxlvofbqbvnqqsfqvbhfhcvxcvqsqbcvqfdvqsfcbqbnqtypq.flv 
天映经典,http://ali.hlspull.yximgs.com/live/tboxprovcnydsqfqsetqqfcvbcdtsqqfvxcvsqnmbnlqqhqqnmyhsqqftydq.flv 
Thrill恐怖电影,http://ali.hlspull.yximgs.com/live/tboxproecvqweqqosvoqqqsqqqdeqfqxqucqshvqcsqqfcqtchplqy.flv 
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8 
